City Name,Service type,Stage,Action,Day,From Time,To Time,Amount,Passenger Location,Route Metric,"Month, Day, Year of Request Created Local",Condition Formating,NA%,Non Riders,DP,DP surge only,GMV,Requests with DP,Requests,Rides,max DP,min DP,NA%
Lima,Beat,Start,add_percent,Wednesday,5:00,5:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,81.5,0,6,6,0,0,0
Lima,Beat,Start,add_percent,Wednesday,5:30,6:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,101.5,0,8,8,0,0,0
Lima,Beat,Start,add_percent,Wednesday,6:00,6:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,264.5,0,23,21,0,0,0
Lima,Beat,Start,add_percent,Wednesday,6:30,7:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,2.702702703,1,0,,446.5,0,37,34,0,0,2.7
Lima,Beat,Start,add_percent,Wednesday,7:00,7:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,6.779661017,4,0,,681,0,59,52,0,0,6.78
Lima,Beat,Start,add_percent,Wednesday,7:30,8:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,16.94915254,10,25,25,623.5,59,59,43,25,25,16.95
Lima,Beat,Start,add_percent,Wednesday,8:00,8:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,9.459459459,7,25,25,914,74,74,58,25,25,9.46
Lima,Beat,Start,add_percent,Wednesday,8:30,9:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,5.769230769,3,49,49,733.5,52,52,41,50,25,5.77
Lima,Beat,Start,add_percent,Wednesday,9:00,9:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,1.470588235,1,0,,794.5,0,68,64,0,0,1.47
Lima,Beat,Start,add_percent,Wednesday,9:30,10:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,661,0,58,56,0,0,0
Lima,Beat,Start,add_percent,Wednesday,10:00,10:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,1.428571429,1,0,,752.5,0,70,67,0,0,1.43
Lima,Beat,Start,add_percent,Wednesday,10:30,11:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,682,0,59,55,0,0,0
Lima,Beat,Start,add_percent,Wednesday,11:00,11:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,510,0,40,38,0,0,0
Lima,Beat,Start,add_percent,Wednesday,11:30,12:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,401,0,36,34,0,0,0
Lima,Beat,Start,add_percent,Wednesday,12:00,12:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,2.127659574,1,0,,560.5,0,47,46,0,0,2.13
Lima,Beat,Start,add_percent,Wednesday,12:30,13:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,439.5,0,43,38,0,0,0
Lima,Beat,Start,add_percent,Wednesday,13:00,13:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,442,0,44,40,0,0,0
Lima,Beat,Start,add_percent,Wednesday,13:30,14:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,486,0,45,41,0,0,0
Lima,Beat,Start,add_percent,Wednesday,14:00,14:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,462.5,0,42,40,0,0,0
Lima,Beat,Start,add_percent,Wednesday,14:30,15:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,760.5,0,59,58,0,0,0
Lima,Beat,Start,add_percent,Wednesday,15:00,15:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,553,0,52,47,0,0,0
Lima,Beat,Start,add_percent,Wednesday,15:30,16:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,455,0,39,38,0,0,0
Lima,Beat,Start,add_percent,Wednesday,16:00,16:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,2.173913043,1,0,,484,0,46,44,0,0,2.17
Lima,Beat,Start,add_percent,Wednesday,16:30,17:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,2.127659574,1,0,,499.5,0,47,42,0,0,2.13
Lima,Beat,Start,add_percent,Wednesday,17:00,17:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,466.5,0,49,41,0,0,0
Lima,Beat,Start,add_percent,Wednesday,17:30,18:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,2.941176471,2,0,,688,0,68,54,0,0,2.94
Lima,Beat,Start,add_percent,Wednesday,18:00,18:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,689,0,64,60,0,0,0
Lima,Beat,Start,add_percent,Wednesday,18:30,19:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,804.5,0,71,65,0,0,0
Lima,Beat,Start,add_percent,Wednesday,19:00,19:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,9.589041096,7,0,,614.5,0,73,57,0,0,9.59
Lima,Beat,Start,add_percent,Wednesday,19:30,20:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,1.639344262,1,0,,680.5,0,61,56,0,0,1.64
Lima,Beat,Start,add_percent,Wednesday,20:00,20:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,1.785714286,1,0,,630,0,56,51,0,0,1.79
Lima,Beat,Start,add_percent,Wednesday,20:30,21:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,561,0,54,47,0,0,0
Lima,Beat,Start,add_percent,Wednesday,21:00,21:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,603,0,52,50,0,0,0
Lima,Beat,Start,add_percent,Wednesday,21:30,22:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,1.694915254,1,0,,590,0,59,55,0,0,1.69
Lima,Beat,Start,add_percent,Wednesday,22:00,22:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",,0,0,0,,707,0,62,58,0,0,0
Lima,Beat,Start,add_percent,Wednesday,22:30,23:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,2.941176471,2,0,,701.5,0,68,59,0,0,2.94
Lima,Beat,Start,add_percent,Wednesday,23:00,23:30,,AELU,total_basic_fare <= 30000,"January 22, 2020",3rd,3.333333333,2,0,,612,0,60,53,0,0,3.33
Lima,Beat,Start,add_percent,Wednesday,23:30,0:00,,AELU,total_basic_fare <= 30000,"January 22, 2020",,6.12244898,3,0,,501.5,0,49,41,0,0,6.12
Lima,Beat,Start,add_percent,Thursday,0:00,0:30,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,275,0,21,19,0,0,0
Lima,Beat,Start,add_percent,Thursday,0:30,1:00,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,338.5,0,29,28,0,0,0
Lima,Beat,Start,add_percent,Thursday,1:00,1:30,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,173.5,0,17,14,0,0,0
Lima,Beat,Start,add_percent,Thursday,1:30,2:00,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,90.5,0,8,8,0,0,0
Lima,Beat,Start,add_percent,Thursday,2:00,2:30,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,28.5,0,5,3,0,0,0
Lima,Beat,Start,add_percent,Thursday,2:30,3:00,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,123.5,0,11,10,0,0,0
Lima,Beat,Start,add_percent,Thursday,3:00,3:30,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,81,0,9,9,0,0,0
Lima,Beat,Start,add_percent,Thursday,3:30,4:00,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,146.5,0,11,11,0,0,0
Lima,Beat,Start,add_percent,Thursday,4:00,4:30,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,57.5,0,6,5,0,0,0
Lima,Beat,Start,add_percent,Thursday,4:30,5:00,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,77.5,0,7,7,0,0,0
Lima,Beat,Start,add_percent,Thursday,5:00,5:30,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,117,0,9,8,0,0,0
Lima,Beat,Start,add_percent,Thursday,5:30,6:00,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,257.5,0,21,20,0,0,0
Lima,Beat,Start,add_percent,Thursday,6:00,6:30,,AELU,total_basic_fare <= 30000,"January 23, 2020",,3.03030303,1,0,,409.5,0,33,28,0,0,3.03
Lima,Beat,Start,add_percent,Thursday,6:30,7:00,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,0,,468,0,40,37,0,0,0
Lima,Beat,Start,add_percent,Thursday,7:00,7:30,,AELU,total_basic_fare <= 30000,"January 23, 2020",3rd,19.04761905,12,0,,612,0,63,42,0,0,19.05
Lima,Beat,Start,add_percent,Thursday,7:30,8:00,,AELU,total_basic_fare <= 30000,"January 23, 2020",3rd,3.03030303,2,40,40,"1,004.50",66,66,59,50,25,3.03
Lima,Beat,Start,add_percent,Thursday,8:00,8:30,,AELU,total_basic_fare <= 30000,"January 23, 2020",3rd,1.5625,1,50,50,"1,028",64,64,51,50,25,1.56
Lima,Beat,Start,add_percent,Thursday,8:30,9:00,,AELU,total_basic_fare <= 30000,"January 23, 2020",,0,0,75,75,746,42,42,36,75,75,0
